Date,Open,High,Low,Close,Adj Close,Volume
2020-03-18,1025.300049,1035.900024,961.000000,968.500000,968.500000,20449241
2020-03-19,920.099976,967.000000,892.200012,917.700012,917.700012,28071848
2020-03-20,939.500000,1034.900024,930.000000,1017.950012,1017.950012,28966278
2020-03-23,916.200012,950.000000,875.650024,884.049988,884.049988,18593390
2020-03-24,930.000000,970.000000,895.799988,943.400024,943.400024,20908452
2020-03-25,963.799988,1151.550049,963.250000,1082.250000,1082.250000,33432712
2020-03-26,1095.800049,1116.900024,1042.349976,1066.199951,1066.199951,20912841
2020-03-27,1095.000000,1107.300049,1046.199951,1065.599976,1065.599976,19044609
2020-03-30,1040.599976,1074.800049,1020.000000,1030.449951,1030.449951,13820078
2020-03-31,1073.949951,1129.800049,1048.000000,1113.750000,1113.750000,20249183
2020-04-01,1122.250000,1124.599976,1045.199951,1080.449951,1080.449951,19016959
